"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка создания двух одинаковых курьеров","285","Создание дублирующего курьера - ошибка","tests","2026-07-03","passed","2026-07-03","TestCreateCourier","test_create_courier","",""
"Параметризованный тест создания заказа с цветами","92","Создание заказа с разными вариантами цвета","tests","2026-07-03","passed","2026-07-03","TestCreateOrder","test_create_order","",""
"Детальная проверка структуры заказа в списке","11310","Проверка структуры заказа в списке","tests","2026-07-03","passed","2026-07-03","TestOrdersList","test_orders_list","",""
"Проверка, что track - это положительное число","85","Проверка корректности track-номера в ответе","tests","2026-07-03","passed","2026-07-03","TestCreateOrder","test_create_order","",""
"Проверка ошибки при авторизации с пустым логином","73","Ошибка при авторизации если логин пустой","tests","2026-07-03","passed","2026-07-03","TestLoginCourier","test_login_courier","",""
"Проверка ошибки при отсутствии обязательных полей","90","Создание курьера с пропущенными полями","tests","2026-07-03","passed","2026-07-03","TestCreateCourier","test_create_courier","",""
"Проверка формата успешного ответа","185","Проверка успешного ответа при создании курьера","tests","2026-07-03","passed","2026-07-03","TestCreateCourier","test_create_courier","",""
"Проверка создания заказа без указания цвета","98","Создание заказа без указания цвета","tests","2026-07-03","passed","2026-07-03","TestCreateOrder","test_create_order","",""
"Проверка ошибки при авторизации с пустым паролем","88","Ошибка при авторизации если пароль пустой","tests","2026-07-03","passed","2026-07-03","TestLoginCourier","test_login_courier","",""
"Проверка успешного создания заказа","196","Создание заказа - успешный сценарий","tests","2026-07-03","passed","2026-07-03","TestCreateOrder","test_create_order","",""
"Параметризованный тест создания заказа с цветами","87","Создание заказа с разными вариантами цвета","tests","2026-07-03","passed","2026-07-03","TestCreateOrder","test_create_order","",""
"Проверка ошибки при неверном логине или пароле","73","Ошибка при авторизации если логин или пароль не корректные","tests","2026-07-03","passed","2026-07-03","TestLoginCourier","test_login_courier","",""
"Проверка успешного создания курьера","171","Создание курьера - успешный сценарий","tests","2026-07-03","passed","2026-07-03","TestCreateCourier","test_create_courier","",""
"Проверка успешной авторизации курьера","77","Авторизация под курьером выдает id","tests","2026-07-03","passed","2026-07-03","TestLoginCourier","test_login_courier","",""
"Проверка ошибки при отсутствии обязательных полей","78","Создание курьера с пропущенными полями","tests","2026-07-03","passed","2026-07-03","TestCreateCourier","test_create_courier","",""
"Параметризованный тест создания заказа с цветами","169","Создание заказа с разными вариантами цвета","tests","2026-07-03","passed","2026-07-03","TestCreateOrder","test_create_order","",""
"Проверка ошибки при создании курьера с существующим логином","285","Создание курьера с существующим логином - ошибка","tests","2026-07-03","passed","2026-07-03","TestCreateCourier","test_create_courier","",""
"Проверка, что возвращается список заказов","14388","Получение списка заказов","tests","2026-07-03","passed","2026-07-03","TestOrdersList","test_orders_list","",""
"Параметризованный тест создания заказа с цветами","101","Создание заказа с разными вариантами цвета","tests","2026-07-03","passed","2026-07-03","TestCreateOrder","test_create_order","",""
"Проверка ошибки при отсутствии обязательных полей","83","Создание курьера с пропущенными полями","tests","2026-07-03","passed","2026-07-03","TestCreateCourier","test_create_courier","",""
